V1,id,source,pmid,pmcid,doi,title,authorString,journalTitle,issue,journalVolume,pubYear,journalIssn,pageInfo,pubType,isOpenAccess,inEPMC,inPMC,hasPDF,hasBook,hasSuppl,citedByCount,hasReferences,hasTextMinedTerms,hasDbCrossReferences,hasLabsLinks,hasTMAccessionNumbers,firstIndexDate,firstPublicationDate,github
1,31581246,MED,31581246,<a href='https://europepmc.org/articles/PMC6776354'target='blank'>PMC6776354</a>,10.1371/journal.pone.0223010,"KETOS: Clinical decision support and machine learning as a service - A training and deployment platform based on Docker, OMOP-CDM, and FHIR Web Services.","Gruendner J, Schwachhofer T, Sippl P, Wolf N, Erpenbeck M, Gulden C, Kapsner LA, Zierk J, Mate S, Stürzl M, Croner R, Prokosch HU, Toddenroth D.",PLoS One,10,14,2019,1932-6203,e0223010,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2019-10-05,2019-10-03,0
2,31522294,MED,31522294,<a href='https://europepmc.org/articles/PMC6745024'target='blank'>PMC6745024</a>,10.1007/s11306-019-1588-0,Toward collaborative open data science in metabolomics using Jupyter Notebooks and cloud computing.,"Mendez KM, Pritchard L, Reinke SN, Broadhurst DI.",Metabolomics,10,15,2019,1573-3882; 1573-3890; ,125,review-article; review; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2019-09-17,2019-09-14,0
3,31667010,MED,31667010,<a href='https://europepmc.org/articles/PMC6816399'target='blank'>PMC6816399</a>,10.7717/peerj.7608,The effect of reverse transcription enzymes and conditions on high throughput amplicon sequencing of the 16S rRNA.,"Šťovíček A, Cohen-Chalamish S, Gillor O.",PeerJ,,7,2019,2167-8359,e7608,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2019-11-01,2019-10-25,0
4,29267850,MED,29267850,<a href='https://europepmc.org/articles/PMC5905576'target='blank'>PMC5905576</a>,10.1093/bioinformatics/btx788,Rcupcake: an R package for querying and analyzing biomedical data through the BD2K PIC-SURE RESTful API.,"Gutiérrez-Sacristán A, Guedj R, Korodi G, Stedman J, Furlong LI, Patel CJ, Kohane IS, Avillach P.",Bioinformatics,8,34,2018,1367-4803; 1367-4811; ,1431-1432,"research-article; journal article; research support, n.i.h., extramural",Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2017-12-23,2018-04-01,0
5,31483788,MED,31483788,<a href='https://europepmc.org/articles/PMC6726226'target='blank'>PMC6726226</a>,10.1371/journal.pone.0212898,Identification of genetic markers for cortical areas using a Random Forest classification routine and the Allen Mouse Brain Atlas.,"Weed N, Bakken T, Graddis N, Gouwens N, Millman D, Hawrylycz M, Waters J.",PLoS One,9,14,2019,1932-6203,e0212898,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2019-09-06,2019-09-04,0
6,29773078,MED,29773078,<a href='https://europepmc.org/articles/PMC5956843'target='blank'>PMC5956843</a>,10.1186/s40168-018-0470-z,Optimizing taxonomic classification of marker-gene amplicon sequences with QIIME 2's q2-feature-classifier plugin.,"Bokulich NA, Kaehler BD, Rideout JR, Dillon M, Bolyen E, Knight R, Huttley GA, Gregory Caporaso J.",Microbiome,1,6,2018,2049-2618,90,"research support, non-u.s. gov't; research-article; research support, u.s. gov't, non-p.h.s.; journal article; research support, n.i.h., extramural",Y,Y,N,Y,N,N,39,Y,Y,N,Y,N,2018-05-19,2018-05-17,0
7,29983924,MED,29983924,<a href='https://europepmc.org/articles/PMC6013758'target='blank'>PMC6013758</a>,10.12688/f1000research.14612.2,eXamine: Visualizing annotated networks in Cytoscape.,"Spohr P, Dinkla K, Klau GW, El-Kebir M.",F1000Res,,7,2018,2046-1402,519,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,Y,Y,2018-07-09,2018-04-30,0
8,31009509,MED,31009509,<a href='https://europepmc.org/articles/PMC6476510'target='blank'>PMC6476510</a>,10.1371/journal.pone.0215571,Predicting childhood obesity using electronic health records and publicly available data.,"Hammond R, Athanasiadou R, Curado S, Aphinyanaphongs Y, Abrams C, Messito MJ, Gross R, Katzow M, Jay M, Razavian N, Elbel B.",PLoS One,4,14,2019,1932-6203,e0215571,research-article; journal article,Y,Y,N,Y,N,Y,1,Y,Y,N,Y,N,2019-04-23,2019-04-22,0
9,31042712,MED,31042712,<a href='https://europepmc.org/articles/PMC6493719'target='blank'>PMC6493719</a>,10.1371/journal.pone.0213924,"Biological variation in the sizes, shapes and locations of visual cortical areas in the mouse.","Waters J, Lee E, Gaudreault N, Griffin F, Lecoq J, Slaughterbeck C, Sullivan D, Farrell C, Perkins J, Reid D, Feng D, Graddis N, Garrett M, Li Y, Long F, Mochizuki C, Roll K, Zhuang J, Thompson C.",PLoS One,5,14,2019,1932-6203,e0213924,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2019-05-03,2019-05-01,0
10,31018128,MED,31018128,<a href='https://europepmc.org/articles/PMC6486483'target='blank'>PMC6486483</a>,10.1016/j.celrep.2019.03.102,The Spectrum of Asynchronous Dynamics in Spiking Networks as a Model for the Diversity of Non-rhythmic Waking States in the Neocortex.,"Zerlaut Y, Zucca S, Panzeri S, Fellin T.",Cell Rep,4,27,2019,2211-1247,1119-1132.e7,research-article; journal article,N,Y,N,N,N,Y,0,Y,Y,N,Y,N,2019-04-25,2019-04-01,0
